测试公告,#genre#
温馨提醒,https://ghgo.xyz/https://raw.githubusercontent.com/co115/nh/main/jar/gg.mp4
温馨提醒,https://vd3.bdstatic.com/mda-pekbzwejzv6m3h6d/hd/cae_h264/1684832121402940833/mda-pekbzwejzv6m3h6d.mp4
测试专用,https://ghgo.xyz/https://raw.githubusercontent.com/co115/nh/main/jar/tsyq.mp4
测试专用,https://itv.yhtv.us.kg/yy/1356315420$樱桃
测试专用,https://itv.yhtv.us.kg/yy/54880976$好声音
测试专用,https://itv.yhtv.us.kg/yy/22490906$燃舞蹈
测试专用,https://itv.yhtv.us.kg/douyin/479388029814$小阿苏
测试专用,https://itv.yhtv.us.kg/douyin/705956065619$浅拾亿
测试专用,http://www.52sw.top:678/play/douyin.php?id=115635159082$小李五行
禁止传播,https://itv.yhtv.us.kg/douyin/157632020140$黑猫
禁止传播,https://itv.yhtv.us.kg/douyin/344258849995$黑猫
禁止传播,https://itv.yhtv.us.kg/douyin/561627136468$晚风#http://www.52sw.top:678/play/douyin.php?id=561627136468$晚风
禁止传播,https://itv.yhtv.us.kg/douyin/938940641238$柯白
禁止传播,https://itv.yhtv.us.kg/douyin/983214000413$平安
禁止传播,https://itv.yhtv.us.kg/douyin/263832538307$北北
禁止传播,https://itv.yhtv.us.kg/douyin/92786073625$枫叶
禁止传播,https://itv.yhtv.us.kg/douyin/979081011458$二八a
禁止传播,https://itv.yhtv.us.kg/douyin/24900402905$晚风
禁止传播,https://itv.yhtv.us.kg/douyin/639956370910$斌果
禁止传播,https://itv.yhtv.us.kg/douyin/600961044912$优格
禁止传播,https://itv.yhtv.us.kg/douyin/647158781193$星南
禁止传播,https://itv.yhtv.us.kg/douyin/665593513392$然而
禁止传播,http://5566.340171345.cn/更多直播源请关注公众号：小凯影视交流/hy.php?id=960427$空伐
禁止传播,http://5566.340171345.cn/更多直播源请关注公众号：小凯影视交流/hy.php?id=20988625$莫言
喜剧电影,https://itv.yhtv.us.kg/douyu/4549169$橙記#https://www.goodiptv.club/douyu/4549169$橙記#http://5566.340171345.cn/更多直播源请关注公众号：小凯影视交流/douyu.php?id=4549169$橙記
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰卡通,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010107/1.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010102/1.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
哈哈炫动,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010117/1.m3u8
哈哈炫动,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
优漫卡通,http://[2409:8087:1a0a:df::402c]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
优漫卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010118/1.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
黑龙江卫视少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龙江卫视少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
今日说法,http://zby.xjqxz.top/jrsf/live.m3u8
法治在线,http://zby.xjqxz.top/fzzx/live.m3u8
天网,http://zby.xjqxz.top/tw/live.m3u8
探索发现,http://zby.xjqxz.top/tsfx/live.m3u8
纪录片1,http://zby.xjqxz.top/jlp1/live.m3u8
更新2024-12-21,https://api.lq.mba/api/dm-xjj
更新2024-12-21,https://api.yujn.cn/api/duilian.php?type=video
更新2024-12-21,http://api.yujn.cn/api/bianzhuang.php??
更新2024-12-21,http://api.yujn.cn/api/juhexjj.php?type=video
更新2024-12-21,http://api.yujn.cn/api/jiepai.php?type=video

戏曲频道,#genre#
梨园频道,http://114.105.184.92:9901/tsfile/live/1052_1.m3u8$『线路1』
